number;quantity;;;;;;;;;;;;;
-78;1;;;;;;;;;;;;;
-77;1;;;;;;;;;;;;;
-76;1;;;;;;;;;;;;;
-70;1;;;;;;;;;;;;;
-69;1;;;;;;;;;;;;;
-67;2;;;;;;;;;;;;;
-66;1;;;;;;;;;;;;;
-65;4;;;;;;;;;;;;;
-64;3;;;;;;;;;;;;;
-63;2;;;;;;;;;;;;;
-62;3;;;;;;;;;;;;;
-61;3;;;;;;;;;;;;;
-60;4;;;;;;;;;;;;;
-59;3;;;;;;;;;;;;;
-58;5;;;;;;;;;;;;;
-57;4;;;;;;;;;;;;;
-56;5;;;;;;;;;;;;;
-55;7;;;;;;;;;;;;;
-54;8;;;;;;;;;;;;;
-53;11;;;;;;;;;;;;;
-52;6;;;;;;;;;;;;;
-51;13;;;;;;;;;;;;;
-50;15;;;;;;;;;;;;;
-49;15;;;;;;;;;;;;;
-48;15;;;;;;;;;;;;;
-47;21;;;;;;;;;;;;;
-46;12;;;;;;;;;;;;;
-45;36;;;;;;;;;;;;;
-44;24;;;;;;;;;;;;;
-43;21;;;;;;;;;;;;;
-42;29;;;;;;;;;;;;;
-41;18;;;;;;;;;;;;;
-40;33;;;;;;;;;;;;;
-39;29;;;;;;;;;;;;;
-38;24;;;;;;;;;;;;;
-37;43;;;;;;;;;;;;;
-36;39;;;;;;;;;;;;;
-35;57;;;;;;;;;;;;;
-34;58;;;;;;;;;;;;;
-33;50;;;;;;;;;;;;;
-32;58;;;;;;;;;;;;;
-31;49;;;;;;;;;;;;;
-30;65;;;;;;;;;;;;;
-29;65;;;;;;;;;;;;;
-28;62;;;;;;;;;;;;;
-27;86;;;;;;;;;;;;;
-26;95;;;;;;;;;;;;;
-25;122;;;;;;;;;;;;;
-24;123;;;;;;;;;;;;;
-23;139;;;;;;;;;;;;;
-22;175;;;;;;;;;;;;;
-21;199;;;;;;;;;;;;;
-20;222;;;;;;;;;;;;;
-19;250;;;;;;;;;;;;;
-18;259;;;;;;;;;;;;;
-17;335;;;;;;;;;;;;;
-16;383;;;;;;;;;;;;;
-15;438;;;;;;;;;;;;;
-14;527;;;;;;;;;;;;;
-13;596;;;;;;;;;;;;;
-12;727;;;;;;;;;;;;;
-11;873;;;;;;;;;;;;;
-10;1008;;;;;;;;;;;;;
-9;1257;;;;;;;;;;;;;
-8;1587;;;;;;;;;;;;;
-7;1902;;;;;;;;;;;;;
-6;2416;;;;;;;;;;;;;
-5;3071;;;;;;;;;;;;;
